vjdbv1.1_field_index,vjdbv1.1_field_id,vjdbv1.1_name
0gk,subgenus_ncbi,Subgenus NCBI
0gg,suborder_ncbi,Suborder NCBI
0gc,subphylum_ncbi,Subphylum NCBI
0aq,organism_name,Organism Name
0cg,pangolin_lineage,Pangolin Lineage
0di,sequencing_platform,Sequencing Platform
0hn,virus_prediction_method,Virus Prediction Method
0ai,is_refseq_sequence,RefSeq Sequence
0as,release_date,Release Date
0at,segment_name,Segment Name
0am,sequence_length,Sequence Length
0dk,sequence_source,Sequence Source
0cy,sequencing_center,Sequencing Center
0au,sra_accession,SRA Accession
0er,strain,Strain
0av,submitter,Submitter
0dl,submitter_country,Submitter Country
0ar,submitter_organization,Submitter Organization
0dm,submitter_region,Submitter Region
0hk,unique_reference,Unique Reference
0hj,is_unique_representative,Unique Representative
0dn,virjendb_accession,VirJenDB Accession
0do,virjendb_metadata_version,VirJenDB Metadata Version
0iy,sequence_url,GenBank URL
